,Unnamed: 0_x,년도,순위,영화명,국적,개봉전상영횟수,천만감독유무,천만배우수,원작유무,시리즈유무,블로그리뷰수,유튜브예고편수,예고편조회수,특별상영관유무,개봉특수시기,티켓값,코로나확진자수,음식물제한,음료제한,시간제한,미접종자제한,주연배우팔로워수평균,인기장르,비인기장르,12세관람가,15세관람가,청소년관람불가,관객수,거리좌석합침
27,27,2022,42,수퍼 소닉2,0,3,0,0,1,1,245,12,43878405,0,0,8952,309361,1,0,1,0,1367513,0,1,0,0,0,315123,5
28,28,2022,43,DC 리그 오브 슈퍼-펫,0,21,0,0,1,0,289,2,1757784,0,1,8973,96244,0,0,0,0,249733620,0,1,0,0,0,248798,0
29,29,2022,44,나일 강의 죽음,0,5,0,0,1,1,346,3,1185862,0,1,8975,23687,1,0,1,0,0,1,0,1,0,0,232883,7
30,30,2022,47,문폴,0,2,0,0,0,0,204,3,440088,0,0,8980,282490,1,0,1,0,4234290,0,0,1,0,0,195346,6
31,31,2022,48,앵커,1,56,0,0,0,0,913,3,1050657,0,0,9828,157475,1,0,1,0,307599,1,0,0,1,0,171255,4
32,32,2022,50,공기살인,1,34,0,0,1,0,516,2,858760,0,0,8046,135410,1,0,1,0,1252543,0,0,1,0,0,158265,4
33,33,2021,1,스파이더맨: 노 웨이 홈,0,3,0,0,1,1,2259,2,9996985,1,0,7051,5815,1,0,0,1,111646716,0,0,1,0,0,5560940,7
34,34,2021,2,모가디슈,1,78,1,2,0,0,703,2,2092032,1,0,10228,1516,1,1,1,0,225879,0,0,0,1,0,3613984,7
35,35,2021,3,이터널스,0,5,0,1,1,1,1649,2,8275426,1,0,10069,1675,1,1,1,0,7682482,0,0,1,0,0,3050132,7
36,36,2021,4,블랙 위도우,0,3,0,2,1,1,1331,3,3040515,1,0,9651,689,1,1,0,0,1627863,0,0,1,0,0,2962088,5
37,37,2021,5,분노의 질주: 더 얼티메이트,0,1,0,0,0,1,318,3,5136699,1,0,9220,610,1,1,0,0,10679050,0,0,1,0,0,2292415,5
38,38,2021,6,싱크홀,1,77,0,0,0,0,592,2,1907513,0,1,7394,1604,1,1,1,0,2647356,0,0,1,0,0,2195683,7
39,39,2021,7,극장판 귀멸의 칼날: 무한열차편,0,4,0,0,1,1,615,4,353823,1,1,9633,445,1,0,1,0,2323,0,1,0,1,0,2151861,6
